iter	Passed	Remaining
0	3	3639
1	8	4169
2	14	4710
3	23	5890
4	33	6640
5	43	7152
6	52	7516
7	62	7755
8	71	7898
9	75	7442
10	78	7079
11	82	6765
12	85	6512
13	89	6282
14	91	5985
15	94	5836
16	98	5702
17	102	5601
18	108	5581
19	111	5486
20	115	5397
21	119	5323
22	123	5250
23	127	5176
24	131	5137
25	135	5070
26	139	5019
27	142	4963
28	145	4869
29	149	4820
30	153	4784
31	156	4749
32	160	4713
33	164	4674
34	168	4645
35	172	4610
36	176	4588
37	180	4558
38	184	4536
39	187	4507
40	191	4485
41	195	4457
42	199	4438
43	203	4412
44	207	4395
45	210	4366
46	214	4348
47	218	4324
48	221	4307
49	225	4287
50	229	4270
51	233	4254
52	237	4239
53	240	4221
54	244	4208
55	248	4190
56	252	4178
57	256	4160
58	259	4146
59	263	4125
60	267	4110
61	270	4095
62	274	4090
63	278	4073
64	282	4064
65	286	4050
66	290	4040
67	294	4030
68	297	4020
69	301	4006
70	305	3996
71	308	3981
72	312	3967
73	315	3951
74	319	3944
75	323	3929
76	327	3923
77	331	3913
78	334	3903
79	338	3892
80	342	3885
81	346	3875
82	350	3873
83	354	3866
84	358	3859
85	362	3850
86	366	3841
87	369	3829
88	371	3802
89	375	3793
90	378	3782
91	382	3777
92	386	3766
93	389	3757
94	393	3746
95	397	3739
96	400	3729
97	404	3720
98	407	3710
99	411	3702
100	414	3693
101	418	3687
102	422	3679
103	426	3674
104	430	3666
105	434	3662
106	437	3654
107	442	3650
108	445	3642
109	449	3637
110	453	3628
111	456	3621
112	460	3612
113	464	3607
114	467	3599
115	471	3594
116	475	3591
117	479	3587
118	483	3579
119	486	3567
120	490	3562
121	494	3558
122	498	3552
123	502	3546
124	505	3537
125	508	3529
126	512	3520
127	515	3512
128	519	3507
129	523	3502
130	526	3494
131	530	3489
132	534	3482
133	538	3477
134	541	3471
135	546	3471
136	550	3466
137	554	3464
138	558	3456
139	562	3452
140	565	3445
141	569	3441
142	573	3434
143	577	3430
144	580	3424
145	584	3418
146	588	3412
147	591	3407
148	595	3401
149	599	3396
150	602	3389
151	607	3387
152	609	3374
153	613	3368
154	617	3365
155	621	3362
156	626	3361
157	630	3361
158	639	3384
159	649	3410
160	653	3407
161	657	3401
162	660	3394
163	665	3390
164	668	3384
165	672	3379
166	676	3373
167	680	3368
168	683	3361
169	688	3359
170	691	3353
171	695	3347
172	698	3340
173	702	3335
174	705	3327
175	709	3323
176	713	3316
177	717	3311
178	720	3305
179	724	3301
180	728	3295
181	732	3290
182	735	3284
183	739	3280
184	743	3275
185	747	3270
186	748	3256
187	752	3249
188	755	3243
189	759	3239
190	763	3233
191	767	3229
192	771	3224
193	774	3219
194	778	3214
195	782	3209
196	786	3204
197	790	3202
198	793	3195
199	797	3190
200	801	3184
201	805	3180
202	808	3174
203	812	3169
204	815	3164
205	819	3160
206	823	3155
207	827	3151
208	831	3145
209	835	3141
210	838	3137
211	842	3132
212	846	3128
213	851	3126
214	855	3122
215	859	3118
216	862	3112
217	866	3107
218	869	3101
219	873	3097
220	877	3091
221	881	3088
222	884	3082
223	888	3077
224	892	3073
225	896	3069
226	900	3065
227	903	3060
228	907	3055
229	911	3051
230	914	3045
231	918	3040
232	922	3035
233	925	3030
234	929	3026
235	933	3021
236	936	3016
237	940	3012
238	944	3007
239	948	3002
240	951	2997
241	955	2993
242	959	2988
243	963	2984
244	966	2979
245	970	2975
246	974	2969
247	978	2965
248	982	2961
249	985	2956
250	988	2951
251	992	2946
252	996	2942
253	1000	2938
254	1003	2932
255	1007	2928
256	1011	2925
257	1015	2921
258	1019	2917
259	1023	2912
260	1027	2909
261	1031	2904
262	1035	2901
263	1038	2895
264	1042	2892
265	1046	2887
266	1050	2883
267	1053	2877
268	1057	2874
269	1061	2869
270	1065	2865
271	1068	2860
272	1072	2856
273	1076	2851
274	1080	2847
275	1083	2842
276	1088	2840
277	1091	2835
278	1095	2831
279	1099	2826
280	1103	2823
281	1106	2818
282	1110	2814
283	1114	2809
284	1118	2805
285	1121	2800
286	1125	2796
287	1129	2791
288	1133	2787
289	1136	2782
290	1140	2779
291	1144	2774
292	1148	2770
293	1151	2765
294	1155	2761
295	1162	2764
296	1166	2760
297	1170	2756
298	1173	2751
299	1177	2747
300	1180	2742
301	1184	2737
302	1187	2732
303	1191	2728
304	1195	2724
305	1199	2720
306	1203	2715
307	1207	2712
308	1211	2708
309	1215	2704
310	1219	2700
311	1222	2695
312	1226	2691
313	1229	2686
314	1233	2682
315	1237	2677
316	1240	2673
317	1244	2668
318	1248	2665
319	1251	2660
320	1255	2656
321	1259	2651
322	1263	2648
323	1267	2643
324	1271	2639
325	1274	2634
326	1278	2630
327	1281	2625
328	1285	2621
329	1288	2616
330	1292	2612
331	1296	2607
332	1300	2604
333	1302	2597
334	1306	2593
335	1310	2589
336	1314	2585
337	1317	2581
338	1322	2579
339	1328	2578
340	1332	2574
341	1336	2570
342	1339	2566
343	1343	2562
344	1347	2558
345	1351	2554
346	1355	2551
347	1359	2547
348	1362	2542
349	1366	2538
350	1370	2534
351	1374	2530
352	1378	2526
353	1382	2522
354	1385	2517
355	1389	2513
356	1393	2508
357	1397	2505
358	1400	2501
359	1404	2497
360	1408	2493
361	1412	2488
362	1415	2484
363	1419	2480
364	1423	2476
365	1427	2472
366	1431	2468
367	1434	2463
368	1438	2459
369	1442	2455
370	1445	2451
371	1449	2447
372	1453	2443
373	1457	2439
374	1461	2435
375	1464	2430
376	1468	2426
377	1472	2422
378	1476	2418
379	1479	2413
380	1483	2409
381	1486	2405
382	1491	2402
383	1495	2398
384	1498	2394
385	1502	2390
386	1506	2386
387	1510	2382
388	1514	2378
389	1518	2374
390	1521	2370
391	1525	2365
392	1528	2361
393	1532	2356
394	1535	2352
395	1539	2348
396	1543	2344
397	1546	2339
398	1551	2336
399	1555	2332
400	1559	2329
401	1563	2325
402	1567	2321
403	1570	2317
404	1574	2313
